No.,EPC,Last Record Time
1,e2801170000002161d2da08c,2022-02-15 22:35:19
2,e2801170000002161d2da0ac,2022-02-15 22:35:37
3,e2801170000002161d2dc2bc,2022-02-15 22:35:40
4,e2801170000002161d2dc2fc,2022-02-15 22:35:43
5,e2801170000002161d2da0fc,2022-02-15 22:35:45
6,e2801170000002161d2dc27c,2022-02-15 22:36:08
7,e2801170000002161d2dc26c,2022-02-15 22:36:11
8,e2801170000002161d2da0ec,2022-02-15 22:36:14
9,e2801170000002161d2da0dc,2022-02-15 22:36:17
10,e2801170000002161d2dc23c,2022-02-15 22:36:25
11,e2801170000002161d2dc22c,2022-02-15 22:36:39
12,e2801170000002161d2dd46c,2022-02-15 22:36:42
13,e2801170000002161d2dc29c,2022-02-15 22:36:45
14,e2801170000002161d2dd47c,2022-02-15 22:36:49
15,e2801170000002161d2e2aeb,2022-02-15 22:36:52
16,e2801170000002161d2da0dd,2022-02-15 22:37:25
17,e2801170000002161d2e3cab,2022-02-15 22:37:57
18,e2801170000002161d2e3c9b,2022-02-15 22:38:02
19,e2801170000002161d2d5acd,2022-02-15 22:38:06
20,e2801170000002161d2d6c5d,2022-02-15 22:38:09
21,e2801170000002161d2d6c1c,2022-02-15 22:38:16
22,e2801170000002161d2d6c6c,2022-02-15 22:38:20
23,e2801170000002161d2da01c,2022-02-15 22:38:23
24,e2801170000002161d2e081c,2022-02-15 22:38:26
25,e2801170000002161d2da09c,2022-02-15 22:38:29
26,e2801170000002161d2da00c,2022-02-15 22:38:38
27,e2801170000002161d2e2a4b,2022-02-15 22:38:42
28,e2801170000002161d2da0bc,2022-02-15 22:38:46
29,e2801170000002161d2e2a3b,2022-02-15 22:38:49
30,e2801170000002161d2e2a2b,2022-02-15 22:38:52
31,e2801170000002161d2da07d,2022-02-15 22:38:56
32,e2801170000002161d2da0cc,2022-02-15 22:38:59
33,e2801170000002161d2da0fd,2022-02-15 22:38:59
34,e2801170000002161d2d6c7d,2022-02-15 22:42:09
35,e2801170000002161d2da06d,2022-02-15 22:42:20
36,e2801170000002161d2da08d,2022-02-15 22:42:22
37,e2801170000002161d2da0cd,2022-02-15 22:42:24
38,e2801170000002161d2d6ced,2022-02-15 22:42:25
